Man United, 1.5402896991809059
Chelsea, 1.3782151448859303
Arsenal, 1.238307738151478
Man City, 1.0491965317498964
Liverpool, 0.5856487706318
Tottenham, 0.3663030285411113
Everton, 0.1572050497488936
Fulham, 0.1447769112805345
Stoke, -0.10211423712306755
Newcastle, -0.1815525724793049
Bolton, -0.2042284742461351
Aston Villa, -0.3192796040438689
Blackburn, -0.32196873342006405
Sunderland, -0.4435609887274603
West Brom, -0.5359362167583632
Birmingham, -0.7304256819123343
Wolves, -0.8222921557369305
Wigan, -0.879563343532644
Blackpool, -0.8946806113771975
West Ham, -1.0243402548131784
